Number,Name,Color,RGB str,Foreground Escape Code,Background Escape Code
133,MediumOrchid3,,#af5faf,[38:5:133m,[48:5:133m
134,MediumOrchid,,#af5fd7,[38:5:134m,[48:5:134m
135,MediumPurple2,,#af5fff,[38:5:135m,[48:5:135m
136,DarkGoldenrod,,#af8700,[38:5:136m,[48:5:136m
137,LightSalmon3,,#af875f,[38:5:137m,[48:5:137m
138,RosyBrown,,#af8787,[38:5:138m,[48:5:138m
139,Grey63,,#af87af,[38:5:139m,[48:5:139m
140,MediumPurple2,,#af87d7,[38:5:140m,[48:5:140m
141,MediumPurple1,,#af87ff,[38:5:141m,[48:5:141m
142,Gold3,,#afaf00,[38:5:142m,[48:5:142m
143,DarkKhaki,,#afaf5f,[38:5:143m,[48:5:143m
144,NavajoWhite3,,#afaf87,[38:5:144m,[48:5:144m
145,Grey69,,#afafaf,[38:5:145m,[48:5:145m
146,LightSteelBlue3,,#afafd7,[38:5:146m,[48:5:146m
147,LightSteelBlue,,#afafff,[38:5:147m,[48:5:147m
148,Yellow3,,#afd700,[38:5:148m,[48:5:148m
149,DarkOliveGreen3,,#afd75f,[38:5:149m,[48:5:149m
150,DarkSeaGreen3,,#afd787,[38:5:150m,[48:5:150m
151,DarkSeaGreen2,,#afd7af,[38:5:151m,[48:5:151m
152,LightCyan3,,#afd7d7,[38:5:152m,[48:5:152m
153,LightSkyBlue1,,#afd7ff,[38:5:153m,[48:5:153m
154,GreenYellow,,#afff00,[38:5:154m,[48:5:154m
155,DarkOliveGreen2,,#afff5f,[38:5:155m,[48:5:155m
156,PaleGreen1,,#afff87,[38:5:156m,[48:5:156m
157,DarkSeaGreen2,,#afffaf,[38:5:157m,[48:5:157m
158,DarkSeaGreen1,,#afffd7,[38:5:158m,[48:5:158m
159,PaleTurquoise1,,#afffff,[38:5:159m,[48:5:159m
160,Red3,,#d70000,[38:5:160m,[48:5:160m
161,DeepPink3,,#d7005f,[38:5:161m,[48:5:161m
162,DeepPink3,,#d70087,[38:5:162m,[48:5:162m
163,Magenta3,,#d700af,[38:5:163m,[48:5:163m
164,Magenta3,,#d700d7,[38:5:164m,[48:5:164m
165,Magenta2,,#d700ff,[38:5:165m,[48:5:165m
166,DarkOrange3,,#d75f00,[38:5:166m,[48:5:166m
